City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,crane,31.3974,-102.3501,38.81,5.0,46.0,7.87,US,1717453411.0
182,chelghoum el aid,36.1629,6.1665,19.32,76.0,27.0,2.23,DZ,1717453412.0
183,bokoro,12.3807,17.0568,36.53,18.0,12.0,3.17,TD,1717453414.0
184,fauske,67.2588,15.3918,9.32,80.0,100.0,0.5,NO,1717453415.0
185,fale old settlement,-9.3852,-171.2468,29.02,75.0,61.0,5.22,TK,1717453416.0
186,kruisfontein,-34.0033,24.7314,10.96,88.0,100.0,5.35,ZA,1717453417.0
187,bamboo flat,11.7,92.7167,27.05,94.0,75.0,1.03,IN,1717453418.0
188,sofifi,,,,,,,,
189,vila franca do campo,37.7167,-25.4333,19.23,99.0,18.0,1.92,PT,1717453421.0
190,burela de cabo,43.65,-7.4,16.68,92.0,49.0,5.21,ES,1717453422.0
191,huarmey,-10.0681,-78.1522,20.44,74.0,1.0,3.45,PE,1717453423.0
192,pinehurst,35.1954,-79.4695,26.84,68.0,0.0,3.6,US,1717453205.0
193,masonboro,34.1793,-77.8475,28.37,64.0,20.0,5.66,US,1717453425.0
194,ola,59.5833,151.2833,7.3,82.0,100.0,2.55,RU,1717453426.0
195,sao joao da barra,-21.6403,-41.0511,22.05,86.0,0.0,4.74,BR,1717453427.0
196,touros,-5.1989,-35.4608,25.36,86.0,39.0,3.97,BR,1717453429.0
197,ketchikan,55.3422,-131.6461,12.99,76.0,100.0,5.14,US,1717453384.0
198,zaragoza,41.6561,-0.8773,21.68,54.0,20.0,8.75,ES,1717453431.0
199,puerto armuelles,8.2833,-82.8667,25.61,89.0,100.0,2.24,PA,1717453432.0
200,banda aceh,5.5577,95.3222,26.29,82.0,57.0,2.29,ID,1717453433.0
201,charters towers,-20.1,146.2667,15.29,80.0,0.0,3.63,AU,1717453434.0
202,pompeu,-19.2244,-44.9353,21.29,54.0,100.0,1.18,BR,1717453435.0
203,aswan,24.0934,32.907,33.11,9.0,0.0,4.21,EG,1717453141.0
204,murgab,37.4966,61.9714,22.93,49.0,3.0,2.06,TM,1717453438.0
205,san patricio,28.017,-97.5169,33.05,62.0,91.0,9.44,US,1717453439.0
206,kingston,17.997,-76.7936,29.53,66.0,75.0,6.17,JM,1717453389.0
207,malango,-2.9627,119.9001,19.18,98.0,100.0,0.82,ID,1717453441.0
208,sittwe,20.15,92.9,26.77,86.0,70.0,2.62,MM,1717453442.0
209,ulsteinvik,62.3432,5.8487,10.42,86.0,25.0,6.71,NO,1717453443.0
210,ermoupolis,37.4423,24.9425,26.05,44.0,79.0,3.6,GR,1717453445.0
211,saipan,15.1355,145.701,30.39,70.0,20.0,4.12,MP,1717453446.0
212,amga,60.8953,131.9608,11.8,46.0,17.0,4.23,RU,1717453447.0
213,swakopmund,-22.6833,14.5333,12.47,75.0,0.0,0.45,NA,1717453448.0
214,guane,22.2025,-84.0875,25.13,85.0,88.0,2.5,CU,1717453449.0
215,westport,41.1415,-73.3579,29.6,47.0,0.0,1.54,US,1717453357.0
216,chicomuselo,15.7667,-92.2667,38.07,25.0,50.0,3.25,MX,1717453452.0
217,pacocha,-17.5833,-71.3333,16.12,88.0,25.0,2.27,PE,1717453453.0
218,serdar,38.9764,56.2757,23.91,49.0,0.0,5.37,TM,1717453454.0
219,kiunga,-6.1219,141.2906,23.52,100.0,100.0,0.31,PG,1717453455.0
220,choibalsan,48.0667,114.5,18.13,43.0,100.0,3.36,MN,1717453456.0
221,laukaa,58.7372,29.8453,15.2,95.0,92.0,2.16,RU,1717453457.0
222,bucerias,20.75,-105.3333,30.55,70.0,0.0,6.17,MX,1717453458.0
223,tranovaho,,,,,,,,
224,kudymkar,59.0173,54.656,14.11,96.0,93.0,2.05,RU,1717453461.0
225,kifri,34.6959,44.9661,31.92,22.0,0.0,4.6,IQ,1717453462.0
226,benjamin constant,-4.3831,-70.0311,29.07,78.0,75.0,8.75,BR,1717453463.0
227,luderitz,-26.6481,15.1594,12.52,78.0,0.0,2.65,NA,1717453250.0
228,kinablangan,7.6947,126.5503,24.84,86.0,88.0,1.81,PH,1717453465.0
229,nakasongola,1.3089,32.4564,19.46,89.0,76.0,1.08,UG,1717453467.0
230,ingeniero jacobacci,-41.3427,-69.5448,3.24,67.0,100.0,5.49,AR,1717453468.0
